datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,boiler_gas_in,boiler_heat_out,heat_demand
2026-04-15 20:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.539894736842105,2.9593519999999995,4.13
2026-04-15 21:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3843923444976074,2.8293519999999996,4.0
2026-04-15 22:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.9537703349282296,2.4693519999999998,3.64
2026-04-15 23:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.164296650717703,1.8093519999999996,2.98
2026-04-16 00:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.948985645933014,1.6293519999999997,2.8
2026-04-16 01:00:00,2.556,0.950832,1.1706480000000001,1.0,2.056641148325359,1.719352,2.89
2026-04-16 02:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2241052631578944,1.8593519999999997,3.03
2026-04-16 03:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.4274545454545455,2.029352,3.2
2026-04-16 04:00:00,2.556,0.950832,1.1706480000000001,1.0,2.8939617224880383,2.419352,3.59
2026-04-16 05:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3843923444976074,2.8293519999999996,4.0
2026-04-16 06:00:00,2.556,0.950832,1.1706480000000001,1.0,3.5877416267942586,2.999352,4.17
2026-04-16 07:00:00,2.556,0.950832,1.1706480000000001,1.0,3.6236267942583735,3.0293520000000003,4.2
2026-04-16 08:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.1451578947368413,2.629351999999999,3.8
2026-04-16 09:00:00,2.556,0.950832,1.1706480000000001,1.0,2.7504210526315793,2.2993520000000003,3.47
2026-04-16 10:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.439416267942584,2.039352,3.21
2026-04-16 11:00:00,2.556,0.950832,1.1706480000000001,1.0,2.200181818181818,1.8393519999999999,3.01
2026-04-16 12:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,2.1882200956937803,1.8293520000000003,3.0
2026-04-16 13:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2839138755980866,1.9093520000000004,3.08
2026-04-16 14:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2241052631578944,1.8593519999999997,3.03
2026-04-16 15:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2241052631578944,1.8593519999999997,3.03
2026-04-16 16:00:00,2.556,0.950832,1.1706480000000001,1.0,2.307837320574163,1.9293520000000002,3.1
2026-04-16 17:00:00,2.556,0.950832,1.1706480000000001,1.0,2.487263157894737,2.079352,3.25
2026-04-16 18:00:00,2.556,0.950832,1.1706480000000001,1.0,2.9178851674641146,2.4393519999999995,3.61
2026-04-16 19:00:00,2.556,0.950832,1.1706480000000001,1.0,3.2049665071770335,2.6793519999999997,3.85
2026-04-16 20:00:00,2.556,0.950832,1.1706480000000001,1.0,3.4202775119617224,2.859352,4.03
2026-04-16 21:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3126220095693784,2.769352,3.94
2026-04-16 22:00:00,2.556,0.950832,1.1706480000000001,1.0,2.965732057416268,2.479352,3.65
2026-04-16 23:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,2.1882200956937803,1.8293520000000003,3.0
2026-04-17 00:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9848708133971298,1.6593520000000004,2.83
2026-04-17 01:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.0686028708133968,1.7293519999999996,2.9
2026-04-17 02:00:00,2.556,0.950832,1.1706480000000001,1.0,2.236066985645933,1.869352,3.04
2026-04-17 03:00:00,2.556,0.950832,1.1706480000000001,1.0,2.487263157894737,2.079352,3.25
2026-04-17 04:00:00,2.556,0.950832,1.1706480000000001,1.0,2.941808612440191,2.4593519999999995,3.63
2026-04-17 05:00:00,2.556,0.950832,1.1706480000000001,1.0,3.4561626794258373,2.8893519999999997,4.06
2026-04-17 06:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.647550239234449,3.0493519999999994,4.22
2026-04-17 07:00:00,2.556,0.950832,1.1706480000000001,1.0,3.5877416267942586,2.999352,4.17
2026-04-17 08:00:00,2.556,0.950832,1.1706480000000001,1.0,2.965732057416268,2.479352,3.65
2026-04-17 09:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.4513779904306228,2.0493520000000007,3.22
2026-04-17 10:00:00,2.556,0.950832,1.1706480000000001,1.0,2.056641148325359,1.719352,2.89
2026-04-17 11:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9370239234449762,1.6193520000000001,2.79
2026-04-17 12:00:00,2.556,0.950832,1.1706480000000001,1.0,1.9250622009569376,1.6093519999999997,2.78
2026-04-17 13:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9729090909090907,1.6493519999999997,2.82
2026-04-17 14:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9011387559808612,1.5893519999999999,2.76
2026-04-17 15:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9848708133971298,1.6593520000000004,2.83
2026-04-17 16:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.1762583732057417,1.8193519999999999,2.99
2026-04-17 17:00:00,2.556,0.950832,1.1706480000000001,1.0,2.403531100478469,2.0093520000000002,3.18
2026-04-17 18:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.8461148325358847,2.3793519999999995,3.55
2026-04-17 19:00:00,2.556,0.950832,1.1706480000000001,1.0,3.2049665071770335,2.6793519999999997,3.85
2026-04-17 20:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.432239234449761,2.869352,4.04
2026-04-17 21:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.360468899521531,2.8093519999999996,3.98
2026-04-17 22:00:00,2.556,0.950832,1.1706480000000001,1.0,2.9298468899521533,2.449352,3.62
2026-04-17 23:00:00,2.556,0.950832,1.1706480000000001,1.0,2.128411483253589,1.7793520000000003,2.95
2026-04-18 00:00:00,2.556,0.950832,1.1706480000000001,1.0,2.020755980861244,1.689352,2.86
2026-04-18 01:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.1523349282296653,1.799352,2.97
2026-04-18 02:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2839138755980866,1.9093520000000004,3.08
2026-04-18 03:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.475301435406699,2.0693520000000003,3.24
2026-04-18 04:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.870038277511961,2.3993519999999995,3.57
2026-04-18 05:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3126220095693784,2.769352,3.94
2026-04-18 06:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.396354066985645,2.839351999999999,4.01
2026-04-18 07:00:00,2.556,0.950832,1.1706480000000001,1.0,3.2767368421052634,2.7393520000000002,3.91
2026-04-18 08:00:00,2.556,0.950832,1.1706480000000001,1.0,2.7384593301435407,2.289352,3.46
2026-04-18 09:00:00,2.556,0.950832,1.1706480000000001,1.0,2.4633397129186605,2.059352,3.23
2026-04-18 10:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.164296650717703,1.8093519999999996,2.98
2026-04-18 11:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.1403732057416267,1.7893519999999998,2.96
2026-04-18 12:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.1044880382775117,1.7593519999999998,2.93
2026-04-18 13:00:00,2.556,0.950832,1.1706480000000001,1.0,2.128411483253589,1.7793520000000003,2.95
2026-04-18 14:00:00,2.556,0.950832,1.1706480000000001,1.0,1.9968325358851675,1.669352,2.84
2026-04-18 15:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.1044880382775117,1.7593519999999998,2.93
2026-04-18 16:00:00,2.556,0.950832,1.1706480000000001,1.0,2.403531100478469,2.0093520000000002,3.18
2026-04-18 17:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.4992248803827746,2.0893519999999994,3.26
2026-04-18 18:00:00,2.556,0.950832,1.1706480000000001,1.0,2.8939617224880383,2.419352,3.59
2026-04-18 19:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.181043062200957,2.659352,3.83
2026-04-18 20:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3365454545454547,2.789352,3.96
2026-04-18 21:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.252813397129186,2.7193519999999993,3.89
2026-04-18 22:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.8221913875598084,2.359352,3.53
2026-04-18 23:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,2.0327177033492827,1.6993520000000002,2.87
2026-04-19 00:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.948985645933014,1.6293519999999997,2.8
2026-04-19 01:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,2.0087942583732064,1.6793520000000004,2.85
2026-04-19 02:00:00,2.556,0.950832,1.1706480000000001,1.0,2.0805645933014354,1.739352,2.91
2026-04-19 03:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.25999043062201,1.8893520000000004,3.06
2026-04-19 04:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.654727272727272,2.2193519999999993,3.39
2026-04-19 05:00:00,2.556,0.950832,1.1706480000000001,1.0,3.0973110047846886,2.5893519999999994,3.76
2026-04-19 06:00:00,2.556,0.950832,1.1706480000000001,1.0,3.1571196172248808,2.639352,3.81
2026-04-19 07:00:00,2.556,0.950832,1.1706480000000001,1.0,3.0494641148325368,2.5493520000000007,3.72
2026-04-19 08:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.654727272727272,2.2193519999999993,3.39
2026-04-19 09:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.475301435406699,2.0693520000000003,3.24
2026-04-19 10:00:00,2.556,0.950832,1.1706480000000001,1.0,2.307837320574163,1.9293520000000002,3.1
2026-04-19 11:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.1403732057416267,1.7893519999999998,2.96
2026-04-19 12:00:00,2.556,0.950832,1.1706480000000001,1.0,1.9609473684210526,1.639352,2.81
2026-04-19 13:00:00,0.0,0.0,0.0,0.0,3.433014354066986,2.87,2.87
2026-04-19 14:00:00,0.0,0.0,0.0,0.0,3.3492822966507174,2.8,2.8
2026-04-19 15:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9848708133971298,1.6593520000000004,2.83
2026-04-19 16:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2241052631578944,1.8593519999999997,3.03
2026-04-19 17:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.343722488038277,1.9593519999999995,3.13
2026-04-19 18:00:00,2.556,0.950832,1.1706480000000001,1.0,2.7743444976076557,2.319352,3.49
2026-04-19 19:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,3.121234449760766,2.609352,3.78
2026-04-19 20:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.396354066985645,2.839351999999999,4.01
2026-04-19 21:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.252813397129186,2.7193519999999993,3.89
2026-04-19 22:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.8461148325358847,2.3793519999999995,3.55
2026-04-19 23:00:00,2.556,0.950832,1.1706480000000001,1.0,2.0446794258373204,1.7093519999999998,2.88
2026-04-20 00:00:00,2.556,0.950832,1.1706480000000001,1.0,1.8532918660287085,1.5493520000000003,2.72
2026-04-20 01:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.948985645933014,1.6293519999999997,2.8
2026-04-20 02:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,2.0686028708133968,1.7293519999999996,2.9
2026-04-20 03:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.3197990430622006,1.9393519999999997,3.11
2026-04-20 04:00:00,2.556,0.950832,1.1706480000000001,1.0,2.762382775119617,2.3093519999999996,3.48
2026-04-20 05:00:00,2.556,0.950832,1.1706480000000001,1.0,3.2408516746411484,2.709352,3.88
2026-04-20 06:00:00,2.556,0.950832,1.1706480000000001,1.0,3.4202775119617224,2.859352,4.03
2026-04-20 07:00:00,2.556,0.950832,1.1706480000000001,1.0,3.3485071770334933,2.7993520000000003,3.97
2026-04-20 08:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.7025741626794257,2.259352,3.43
2026-04-20 09:00:00,2.556,0.950832,1.1706480000000001,1.0,2.2241052631578944,1.8593519999999997,3.03
2026-04-20 10:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.8652535885167467,1.5593520000000003,2.73
2026-04-20 11:00:00,2.556,0.950832,1.1706480000000001,1.0,1.7097511961722491,1.4293520000000002,2.6
2026-04-20 12:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.6619043062200956,1.389352,2.56
2026-04-20 13:00:00,2.556,0.950832,1.1706480000000001,1.0,1.7456363636363637,1.459352,2.63
2026-04-20 14:00:00,2.556,0.950832,1.1706480000000001,1.0,1.6379808612440192,1.369352,2.54
2026-04-20 15:00:00,2.556,0.950832,1.1706480000000001,1.0,1.6738660287081337,1.3993519999999997,2.57
2026-04-20 16:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.8652535885167467,1.5593520000000003,2.73
2026-04-20 17:00:00,2.556,0.950832,1.1706480000000001,1.0,2.128411483253589,1.7793520000000003,2.95
2026-04-20 18:00:00,2.556,0.950832,1.1706480000000001,1.0,2.582956937799043,2.159352,3.33
2026-04-20 19:00:00,2.556,0.950832,1.1706480000000001,1.0,2.941808612440191,2.4593519999999995,3.63
2026-04-20 20:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.216928229665071,2.6893519999999995,3.86
2026-04-20 21:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.109272727272727,2.5993519999999997,3.77
2026-04-20 22:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.6786507177033494,2.239352,3.41
2026-04-20 23:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9848708133971298,1.6593520000000004,2.83
2026-04-21 00:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.7575980861244023,1.4693520000000002,2.64
2026-04-21 01:00:00,2.556,0.950832,1.1706480000000001,1.0,1.8532918660287085,1.5493520000000003,2.72
2026-04-21 02:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.9848708133971298,1.6593520000000004,2.83
2026-04-21 03:00:00,2.556,0.950832,1.1706480000000001,1.0,2.236066985645933,1.869352,3.04
2026-04-21 04:00:00,2.556,0.950832,1.1706480000000001,1.0,2.6427655502392344,2.209352,3.38
2026-04-21 05:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,3.121234449760766,2.609352,3.78
2026-04-21 06:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.360468899521531,2.8093519999999996,3.98
2026-04-21 07:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.216928229665071,2.6893519999999995,3.86
2026-04-21 08:00:00,2.556,0.950832,1.1706480000000001,1.0,2.511186602870813,2.0993519999999997,3.27
2026-04-21 09:00:00,2.556,0.950832,1.1706480000000001,1.0,2.056641148325359,1.719352,2.89
2026-04-21 10:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.6619043062200956,1.389352,2.56
2026-04-21 11:00:00,2.556,0.950832,1.1706480000000001,1.0,1.554248803827751,1.2993519999999998,2.47
2026-04-21 12:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.4705167464114834,1.229352,2.4
2026-04-21 13:00:00,2.556,0.950832,1.1706480000000001,1.0,1.5662105263157893,1.3093519999999998,2.48
2026-04-21 14:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.3987464114832535,1.169352,2.34
2026-04-21 15:00:00,2.556,0.950832,1.1706480000000001,1.0,1.5183636363636361,1.2693519999999998,2.44
2026-04-21 16:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.590133971291866,1.3293519999999999,2.5
2026-04-21 17:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.8652535885167467,1.5593520000000003,2.73
2026-04-21 18:00:00,2.556,0.950832,1.1706480000000001,1.0,2.3915693779904306,1.9993519999999998,3.17
2026-04-21 19:00:00,2.556,0.950832,1.1706480000000001,1.0,2.7743444976076557,2.319352,3.49
2026-04-21 20:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,3.0733875598086122,2.569352,3.74
2026-04-21 21:00:00,2.556,0.950832,1.1706480000000001,1.0,2.9178851674641146,2.4393519999999995,3.61
2026-04-21 22:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.475301435406699,2.0693520000000003,3.24
2026-04-21 23:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.7934832535885168,1.499352,2.67
2026-04-22 00:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.542287081339713,1.289352,2.46
2026-04-22 01:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.5781722488038283,1.3193520000000005,2.49
2026-04-22 02:00:00,2.556,0.950832,1.1706480000000001,1.0,1.69778947368421,1.4193519999999995,2.59
2026-04-22 03:00:00,2.556,0.950832,1.1706480000000001,1.0,1.9609473684210526,1.639352,2.81
2026-04-22 04:00:00,2.556,0.950832,1.1706480000000001,1.0,2.3915693779904306,1.9993519999999998,3.17
2026-04-22 05:00:00,2.556,0.950832,1.1706480000000001,1.0,2.8939617224880383,2.419352,3.59
2026-04-22 06:00:00,2.556,0.950832,1.1706480000000001,1.0,3.1331961722488035,2.6193519999999997,3.79
2026-04-22 07:00:00,2.556,0.950832,1.1706480000000001,1.0,2.9896555023923446,2.499352,3.67
2026-04-22 08:00:00,2.556,0.950832,1.1706480000000001,1.0,2.3317607655502393,1.949352,3.12
2026-04-22 09:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.948985645933014,1.6293519999999997,2.8
2026-04-22 10:00:00,2.556,0.950832,1.1706480000000001,1.0,1.554248803827751,1.2993519999999998,2.47
2026-04-22 11:00:00,2.556,0.950832,1.1706480000000001,1.0,1.5303253588516748,1.279352,2.45
2026-04-22 12:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.4824784688995216,1.239352,2.41
2026-04-22 13:00:00,2.556,0.950832,1.1706480000000001,1.0,1.5662105263157893,1.3093519999999998,2.48
2026-04-22 14:00:00,2.556,0.950832,1.1706480000000001,1.0,1.4944401913875598,1.249352,2.42
2026-04-22 15:00:00,2.556,0.950832,1.1706480000000001,1.0,1.5183636363636361,1.2693519999999998,2.44
2026-04-22 16:00:00,2.556,0.950832,1.1706480000000001,1.0,1.6379808612440192,1.369352,2.54
2026-04-22 17:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.8652535885167467,1.5593520000000003,2.73
2026-04-22 18:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.343722488038277,1.9593519999999995,3.13
2026-04-22 19:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.7025741626794257,2.259352,3.43
2026-04-22 20:00:00,2.556,0.950832,1.1706480000000001,1.0,2.965732057416268,2.479352,3.65
2026-04-22 21:00:00,2.556000000000001,0.9508320000000003,1.1706480000000006,1.0,2.8461148325358847,2.3793519999999995,3.55
2026-04-22 22:00:00,2.556,0.950832,1.1706480000000001,1.0,2.403531100478469,2.0093520000000002,3.18
2026-04-22 23:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.6858277511961723,1.409352,2.58
2026-04-23 00:00:00,2.556,0.950832,1.1706480000000001,1.0,1.4226698564593299,1.1893519999999997,2.36
2026-04-23 01:00:00,2.556,0.950832,1.1706480000000001,1.0,1.5183636363636361,1.2693519999999998,2.44
2026-04-23 02:00:00,2.5560000000000005,0.9508320000000001,1.1706480000000004,1.0,1.590133971291866,1.3293519999999999,2.5
2026-04-23 03:00:00,2.5559999999999996,0.9508319999999999,1.170648,1.0,1.8293684210526318,1.529352,2.7
2026-04-23 04:00:00,2.556,0.950832,1.1706480000000001,1.0,2.271952153110048,1.899352,3.07
2026-04-23 05:00:00,2.556,0.950832,1.1706480000000001,1.0,2.7384593301435407,2.289352,3.46
2026-04-23 06:00:00,2.556,0.950832,1.1706480000000001,1.0,2.965732057416268,2.479352,3.65
2026-04-23 07:00:00,2.556,0.950832,1.1706480000000001,1.0,2.9178851674641146,2.4393519999999995,3.61
2026-04-23 08:00:00,2.555999999999999,0.9508319999999997,1.1706479999999997,1.0,2.379607655502393,1.9893520000000002,3.16
