datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,demand_th,unmet_demand
2026-04-20 23:00:00,6.179039301310043,2.298602620087336,2.8299999999999996,1.0,2.83,4.440892098500626e-16
2026-04-21 00:00:00,5.7641921397379905,2.1442794759825325,2.6399999999999997,1.0,2.64,4.440892098500626e-16
2026-04-21 01:00:00,5.93886462882096,2.2092576419213974,2.7199999999999998,1.0,2.72,4.440892098500626e-16
2026-04-21 02:00:00,6.179039301310043,2.298602620087336,2.8299999999999996,1.0,2.83,4.440892098500626e-16
2026-04-21 03:00:00,6.637554585152838,2.4691703056768555,3.04,1.0,3.04,0.0
2026-04-21 04:00:00,7.379912663755458,2.74532751091703,3.38,1.0,3.38,0.0
2026-04-21 05:00:00,8.253275109170305,3.0702183406113535,3.78,1.0,3.78,0.0
2026-04-21 06:00:00,8.689956331877728,3.2326637554585145,3.9799999999999995,1.0,3.98,4.440892098500626e-16
2026-04-21 07:00:00,8.427947598253274,3.135196506550218,3.86,1.0,3.86,0.0
2026-04-21 08:00:00,7.139737991266375,2.6559825327510915,3.27,1.0,3.27,0.0
2026-04-21 09:00:00,6.310043668122271,2.3473362445414847,2.89,1.0,2.89,0.0
2026-04-21 10:00:00,5.5895196506550215,2.079301310043668,2.56,1.0,2.56,0.0
2026-04-21 11:00:00,5.393013100436681,2.0062008733624452,2.47,1.0,2.47,0.0
2026-04-21 12:00:00,5.240174672489082,1.9493449781659384,2.3999999999999995,1.0,2.4,4.440892098500626e-16
2026-04-21 13:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-21 14:00:00,5.109170305676855,1.9006113537117901,2.34,1.0,2.34,0.0
2026-04-21 15:00:00,5.327510917030567,1.981834061135371,2.44,1.0,2.44,0.0
2026-04-21 16:00:00,5.458515283842794,2.0305676855895194,2.4999999999999996,1.0,2.5,4.440892098500626e-16
2026-04-21 17:00:00,5.960698689956331,2.217379912663755,2.7299999999999995,1.0,2.73,4.440892098500626e-16
2026-04-21 18:00:00,6.921397379912663,2.5747598253275106,3.17,1.0,3.17,0.0
2026-04-21 19:00:00,7.620087336244541,2.8346724890829695,3.49,1.0,3.49,0.0
2026-04-21 20:00:00,8.16593886462882,3.0377292576419213,3.74,1.0,3.74,0.0
2026-04-21 21:00:00,7.882096069868995,2.932139737991266,3.61,1.0,3.61,0.0
2026-04-21 22:00:00,7.074235807860262,2.6316157205240174,3.24,1.0,3.24,0.0
2026-04-21 23:00:00,5.829694323144104,2.1686462882096067,2.67,1.0,2.67,0.0
2026-04-22 00:00:00,5.3711790393013095,1.9980786026200872,2.46,1.0,2.46,0.0
2026-04-22 01:00:00,5.436681222707423,2.0224454148471613,2.4899999999999998,1.0,2.49,4.440892098500626e-16
2026-04-22 02:00:00,5.6550218340611345,2.103668122270742,2.59,1.0,2.59,0.0
2026-04-22 03:00:00,6.135371179039301,2.28235807860262,2.81,1.0,2.81,0.0
2026-04-22 04:00:00,6.921397379912663,2.5747598253275106,3.17,1.0,3.17,0.0
2026-04-22 05:00:00,7.838427947598252,2.9158951965065496,3.5899999999999994,1.0,3.59,4.440892098500626e-16
2026-04-22 06:00:00,8.275109170305676,3.0783406113537115,3.7899999999999996,1.0,3.79,4.440892098500626e-16
2026-04-22 07:00:00,8.013100436681222,2.980873362445415,3.67,1.0,3.67,0.0
2026-04-22 08:00:00,6.812227074235808,2.5341484716157203,3.12,1.0,3.12,0.0
2026-04-22 09:00:00,6.113537117903929,2.274235807860262,2.8,1.0,2.8,0.0
2026-04-22 10:00:00,5.393013100436681,2.0062008733624452,2.47,1.0,2.47,0.0
2026-04-22 11:00:00,5.349344978165939,1.9899563318777291,2.45,1.0,2.45,0.0
2026-04-22 12:00:00,5.262008733624454,1.957467248908297,2.41,1.0,2.41,0.0
2026-04-22 13:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-22 14:00:00,5.283842794759825,1.965589519650655,2.42,1.0,2.42,0.0
2026-04-22 15:00:00,5.327510917030567,1.981834061135371,2.44,1.0,2.44,0.0
2026-04-22 16:00:00,5.545851528384279,2.063056768558952,2.54,1.0,2.54,0.0
2026-04-22 17:00:00,5.960698689956331,2.217379912663755,2.7299999999999995,1.0,2.73,4.440892098500626e-16
2026-04-22 18:00:00,6.834061135371178,2.5422707423580784,3.13,1.0,3.13,0.0
2026-04-22 19:00:00,7.489082969432314,2.785938864628821,3.4299999999999997,1.0,3.43,4.440892098500626e-16
2026-04-22 20:00:00,7.969432314410479,2.9646288209606984,3.6499999999999995,1.0,3.65,4.440892098500626e-16
2026-04-22 21:00:00,7.751091703056767,2.8834061135371174,3.5499999999999994,1.0,3.55,4.440892098500626e-16
2026-04-22 22:00:00,6.9432314410480345,2.5828820960698686,3.1799999999999997,1.0,3.18,4.440892098500626e-16
2026-04-22 23:00:00,5.633187772925764,2.0955458515283842,2.58,1.0,2.58,0.0
2026-04-23 00:00:00,5.152838427947597,1.9168558951965062,2.36,1.0,2.36,0.0
2026-04-23 01:00:00,5.327510917030567,1.981834061135371,2.44,1.0,2.44,0.0
2026-04-23 02:00:00,5.458515283842794,2.0305676855895194,2.4999999999999996,1.0,2.5,4.440892098500626e-16
2026-04-23 03:00:00,5.895196506550218,2.1930131004366813,2.7,1.0,2.7,0.0
2026-04-23 04:00:00,6.703056768558951,2.4935371179039296,3.0699999999999994,1.0,3.07,4.440892098500626e-16
2026-04-23 05:00:00,7.554585152838427,2.8103056768558945,3.4599999999999995,1.0,3.46,4.440892098500626e-16
2026-04-23 06:00:00,7.969432314410479,2.9646288209606984,3.6499999999999995,1.0,3.65,4.440892098500626e-16
2026-04-23 07:00:00,7.882096069868995,2.932139737991266,3.61,1.0,3.61,0.0
2026-04-23 08:00:00,6.899563318777292,2.5666375545851525,3.16,1.0,3.16,0.0
2026-04-23 09:00:00,6.266375545851528,2.331091703056768,2.8699999999999997,1.0,2.87,4.440892098500626e-16
2026-04-23 10:00:00,5.720524017467248,2.1280349344978164,2.6199999999999997,1.0,2.62,4.440892098500626e-16
2026-04-23 11:00:00,5.480349344978165,2.0386899563318774,2.5099999999999993,1.0,2.51,4.440892098500626e-16
2026-04-23 12:00:00,5.349344978165939,1.9899563318777291,2.45,1.0,2.45,0.0
2026-04-23 13:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-23 14:00:00,5.19650655021834,1.9331004366812223,2.3799999999999994,1.0,2.38,4.440892098500626e-16
2026-04-23 15:00:00,5.262008733624454,1.957467248908297,2.41,1.0,2.41,0.0
2026-04-23 16:00:00,5.480349344978165,2.0386899563318774,2.5099999999999993,1.0,2.51,4.440892098500626e-16
2026-04-23 17:00:00,5.851528384279476,2.176768558951965,2.68,1.0,2.68,0.0
2026-04-23 18:00:00,6.768558951965065,2.517903930131004,3.0999999999999996,1.0,3.1,4.440892098500626e-16
2026-04-23 19:00:00,7.4235807860262,2.761572052401746,3.4,1.0,3.4,0.0
2026-04-23 20:00:00,7.838427947598252,2.9158951965065496,3.5899999999999994,1.0,3.59,4.440892098500626e-16
2026-04-23 21:00:00,7.707423580786025,2.8671615720524013,3.5299999999999994,1.0,3.53,4.440892098500626e-16
2026-04-23 22:00:00,6.9432314410480345,2.5828820960698686,3.1799999999999997,1.0,3.18,4.440892098500626e-16
2026-04-23 23:00:00,5.742358078602619,2.136157205240174,2.6299999999999994,1.0,2.63,4.440892098500626e-16
2026-04-24 00:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-24 01:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-24 02:00:00,5.56768558951965,2.0711790393013096,2.55,1.0,2.55,0.0
2026-04-24 03:00:00,5.93886462882096,2.2092576419213974,2.7199999999999998,1.0,2.72,4.440892098500626e-16
2026-04-24 04:00:00,6.659388646288209,2.4772925764192135,3.05,1.0,3.05,0.0
2026-04-24 05:00:00,7.489082969432314,2.785938864628821,3.4299999999999997,1.0,3.43,4.440892098500626e-16
2026-04-24 06:00:00,7.838427947598252,2.9158951965065496,3.5899999999999994,1.0,3.59,4.440892098500626e-16
2026-04-24 07:00:00,7.860262008733624,2.924017467248908,3.6,1.0,3.6,0.0
2026-04-24 08:00:00,7.030567685589519,2.615371179039301,3.2199999999999998,1.0,3.22,4.440892098500626e-16
2026-04-24 09:00:00,6.550218340611353,2.4366812227074233,3.0,1.0,3.0,0.0
2026-04-24 10:00:00,6.179039301310043,2.298602620087336,2.8299999999999996,1.0,2.83,4.440892098500626e-16
2026-04-24 11:00:00,5.93886462882096,2.2092576419213974,2.7199999999999998,1.0,2.72,4.440892098500626e-16
2026-04-24 12:00:00,5.7641921397379905,2.1442794759825325,2.6399999999999997,1.0,2.64,4.440892098500626e-16
2026-04-24 13:00:00,5.917030567685589,2.201135371179039,2.71,1.0,2.71,0.0
2026-04-24 14:00:00,5.6550218340611345,2.103668122270742,2.59,1.0,2.59,0.0
2026-04-24 15:00:00,5.720524017467248,2.1280349344978164,2.6199999999999997,1.0,2.62,4.440892098500626e-16
2026-04-24 16:00:00,6.004366812227073,2.233624454148471,2.7499999999999996,1.0,2.75,4.440892098500626e-16
2026-04-24 17:00:00,6.310043668122271,2.3473362445414847,2.89,1.0,2.89,0.0
2026-04-24 18:00:00,6.9432314410480345,2.5828820960698686,3.1799999999999997,1.0,3.18,4.440892098500626e-16
2026-04-24 19:00:00,7.59825327510917,2.826550218340611,3.48,1.0,3.48,0.0
2026-04-24 20:00:00,8.122270742358078,3.0214847161572047,3.7199999999999998,1.0,3.72,4.440892098500626e-16
2026-04-24 21:00:00,7.838427947598252,2.9158951965065496,3.5899999999999994,1.0,3.59,4.440892098500626e-16
2026-04-24 22:00:00,6.965065502183405,2.5910043668122267,3.1899999999999995,1.0,3.19,4.440892098500626e-16
2026-04-24 23:00:00,5.7641921397379905,2.1442794759825325,2.6399999999999997,1.0,2.64,4.440892098500626e-16
2026-04-25 00:00:00,5.56768558951965,2.0711790393013096,2.55,1.0,2.55,0.0
2026-04-25 01:00:00,5.5895196506550215,2.079301310043668,2.56,1.0,2.56,0.0
2026-04-25 02:00:00,5.742358078602619,2.136157205240174,2.6299999999999994,1.0,2.63,4.440892098500626e-16
2026-04-25 03:00:00,5.982532751091703,2.2255021834061135,2.7399999999999998,1.0,2.74,4.440892098500626e-16
2026-04-25 04:00:00,6.593886462882096,2.4529257641921394,3.02,1.0,3.02,0.0
2026-04-25 05:00:00,7.292576419213972,2.712838427947598,3.3399999999999994,1.0,3.34,4.440892098500626e-16
2026-04-25 06:00:00,7.379912663755458,2.74532751091703,3.38,1.0,3.38,0.0
2026-04-25 07:00:00,7.270742358078602,2.70471615720524,3.3299999999999996,1.0,3.33,4.440892098500626e-16
2026-04-25 08:00:00,6.724890829694322,2.501659388646288,3.0799999999999996,1.0,3.08,4.440892098500626e-16
2026-04-25 09:00:00,6.419213973799126,2.387947598253275,2.94,1.0,2.94,0.0
2026-04-25 10:00:00,6.1572052401746715,2.290480349344978,2.82,1.0,2.82,0.0
2026-04-25 11:00:00,6.135371179039301,2.28235807860262,2.81,1.0,2.81,0.0
2026-04-25 12:00:00,5.93886462882096,2.2092576419213974,2.7199999999999998,1.0,2.72,4.440892098500626e-16
2026-04-25 13:00:00,6.375545851528384,2.371703056768559,2.92,1.0,2.92,0.0
2026-04-25 14:00:00,6.200873362445414,2.306724890829694,2.8399999999999994,1.0,2.84,4.440892098500626e-16
2026-04-25 15:00:00,6.288209606986898,2.339213973799126,2.8799999999999994,1.0,2.88,4.440892098500626e-16
2026-04-25 16:00:00,6.572052401746724,2.4448034934497813,3.01,1.0,3.01,0.0
2026-04-25 17:00:00,6.593886462882096,2.4529257641921394,3.02,1.0,3.02,0.0
2026-04-25 18:00:00,7.05240174672489,2.623493449781659,3.2299999999999995,1.0,3.23,4.440892098500626e-16
2026-04-25 19:00:00,7.489082969432314,2.785938864628821,3.4299999999999997,1.0,3.43,4.440892098500626e-16
2026-04-25 20:00:00,7.969432314410479,2.9646288209606984,3.6499999999999995,1.0,3.65,4.440892098500626e-16
2026-04-25 21:00:00,7.925764192139737,2.9483842794759823,3.63,1.0,3.63,0.0
2026-04-25 22:00:00,7.05240174672489,2.623493449781659,3.2299999999999995,1.0,3.23,4.440892098500626e-16
2026-04-25 23:00:00,5.786026200873362,2.1524017467248906,2.65,1.0,2.65,0.0
2026-04-26 00:00:00,5.633187772925764,2.0955458515283842,2.58,1.0,2.58,0.0
2026-04-26 01:00:00,5.742358078602619,2.136157205240174,2.6299999999999994,1.0,2.63,4.440892098500626e-16
2026-04-26 02:00:00,5.895196506550218,2.1930131004366813,2.7,1.0,2.7,0.0
2026-04-26 03:00:00,6.179039301310043,2.298602620087336,2.8299999999999996,1.0,2.83,4.440892098500626e-16
2026-04-26 04:00:00,7.008733624454147,2.607248908296943,3.2099999999999995,1.0,3.21,4.440892098500626e-16
2026-04-26 05:00:00,7.663755458515283,2.850917030567685,3.51,1.0,3.51,0.0
2026-04-26 06:00:00,7.772925764192139,2.8915283842794754,3.5599999999999996,1.0,3.56,4.440892098500626e-16
2026-04-26 07:00:00,7.489082969432314,2.785938864628821,3.4299999999999997,1.0,3.43,4.440892098500626e-16
2026-04-26 08:00:00,6.965065502183405,2.5910043668122267,3.1899999999999995,1.0,3.19,4.440892098500626e-16
2026-04-26 09:00:00,6.703056768558951,2.4935371179039296,3.0699999999999994,1.0,3.07,4.440892098500626e-16
2026-04-26 10:00:00,6.48471615720524,2.412314410480349,2.9699999999999998,1.0,2.97,4.440892098500626e-16
2026-04-26 11:00:00,6.310043668122271,2.3473362445414847,2.89,1.0,2.89,0.0
2026-04-26 12:00:00,6.244541484716156,2.32296943231441,2.8599999999999994,1.0,2.86,4.440892098500626e-16
2026-04-26 13:00:00,6.441048034934497,2.396069868995633,2.9499999999999997,1.0,2.95,4.440892098500626e-16
2026-04-26 14:00:00,6.222707423580785,2.314847161572052,2.8499999999999996,1.0,2.85,4.440892098500626e-16
2026-04-26 15:00:00,6.441048034934497,2.396069868995633,2.9499999999999997,1.0,2.95,4.440892098500626e-16
2026-04-26 16:00:00,6.812227074235808,2.5341484716157203,3.12,1.0,3.12,0.0
2026-04-26 17:00:00,7.05240174672489,2.623493449781659,3.2299999999999995,1.0,3.23,4.440892098500626e-16
2026-04-26 18:00:00,7.5109170305676844,2.7940611353711784,3.4399999999999995,1.0,3.44,4.440892098500626e-16
2026-04-26 19:00:00,7.925764192139737,2.9483842794759823,3.63,1.0,3.63,0.0
2026-04-26 20:00:00,8.427947598253274,3.135196506550218,3.86,1.0,3.86,0.0
2026-04-26 21:00:00,8.449781659388645,3.143318777292576,3.8699999999999997,1.0,3.87,4.440892098500626e-16
2026-04-26 22:00:00,7.59825327510917,2.826550218340611,3.48,1.0,3.48,0.0
2026-04-26 23:00:00,6.288209606986898,2.339213973799126,2.8799999999999994,1.0,2.88,4.440892098500626e-16
2026-04-27 00:00:00,5.93886462882096,2.2092576419213974,2.7199999999999998,1.0,2.72,4.440892098500626e-16
2026-04-27 01:00:00,6.069868995633187,2.2579912663755457,2.78,1.0,2.78,0.0
2026-04-27 02:00:00,6.244541484716156,2.32296943231441,2.8599999999999994,1.0,2.86,4.440892098500626e-16
2026-04-27 03:00:00,6.659388646288209,2.4772925764192135,3.05,1.0,3.05,0.0
2026-04-27 04:00:00,7.401746724890829,2.7534497816593886,3.39,1.0,3.39,0.0
2026-04-27 05:00:00,8.16593886462882,3.0377292576419213,3.74,1.0,3.74,0.0
2026-04-27 06:00:00,8.537117903930131,3.1758078602620086,3.91,1.0,3.91,0.0
2026-04-27 07:00:00,8.318777292576419,3.0945851528384276,3.81,1.0,3.81,0.0
2026-04-27 08:00:00,7.096069868995633,2.6397379912663754,3.25,1.0,3.25,0.0
2026-04-27 09:00:00,6.397379912663755,2.379825327510917,2.93,1.0,2.93,0.0
2026-04-27 10:00:00,5.7641921397379905,2.1442794759825325,2.6399999999999997,1.0,2.64,4.440892098500626e-16
2026-04-27 11:00:00,5.56768558951965,2.0711790393013096,2.55,1.0,2.55,0.0
2026-04-27 12:00:00,5.436681222707423,2.0224454148471613,2.4899999999999998,1.0,2.49,4.440892098500626e-16
2026-04-27 13:00:00,5.5895196506550215,2.079301310043668,2.56,1.0,2.56,0.0
2026-04-27 14:00:00,5.545851528384279,2.063056768558952,2.54,1.0,2.54,0.0
2026-04-27 15:00:00,5.458515283842794,2.0305676855895194,2.4999999999999996,1.0,2.5,4.440892098500626e-16
2026-04-27 16:00:00,5.6550218340611345,2.103668122270742,2.59,1.0,2.59,0.0
2026-04-27 17:00:00,6.1572052401746715,2.290480349344978,2.82,1.0,2.82,0.0
2026-04-27 18:00:00,6.986899563318777,2.5991266375545847,3.1999999999999997,1.0,3.2,4.440892098500626e-16
2026-04-27 19:00:00,7.663755458515283,2.850917030567685,3.51,1.0,3.51,0.0
2026-04-27 20:00:00,7.947598253275109,2.9565065502183403,3.6399999999999997,1.0,3.64,4.440892098500626e-16
2026-04-27 21:00:00,7.860262008733624,2.924017467248908,3.6,1.0,3.6,0.0
2026-04-27 22:00:00,7.030567685589519,2.615371179039301,3.2199999999999998,1.0,3.22,4.440892098500626e-16
2026-04-27 23:00:00,5.807860262008734,2.160524017467249,2.66,1.0,2.66,0.0
2026-04-28 00:00:00,5.393013100436681,2.0062008733624452,2.47,1.0,2.47,0.0
2026-04-28 01:00:00,5.458515283842794,2.0305676855895194,2.4999999999999996,1.0,2.5,4.440892098500626e-16
2026-04-28 02:00:00,5.6550218340611345,2.103668122270742,2.59,1.0,2.59,0.0
2026-04-28 03:00:00,6.091703056768559,2.2661135371179038,2.79,1.0,2.79,0.0
2026-04-28 04:00:00,6.85589519650655,2.5503930131004364,3.14,1.0,3.14,0.0
2026-04-28 05:00:00,7.816593886462881,2.9077729257641916,3.5799999999999996,1.0,3.58,4.440892098500626e-16
2026-04-28 06:00:00,8.16593886462882,3.0377292576419213,3.74,1.0,3.74,0.0
2026-04-28 07:00:00,7.969432314410479,2.9646288209606984,3.6499999999999995,1.0,3.65,4.440892098500626e-16
2026-04-28 08:00:00,6.834061135371178,2.5422707423580784,3.13,1.0,3.13,0.0
2026-04-28 09:00:00,6.200873362445414,2.306724890829694,2.8399999999999994,1.0,2.84,4.440892098500626e-16
2026-04-28 10:00:00,5.524017467248907,2.0549344978165935,2.5299999999999994,1.0,2.53,4.440892098500626e-16
2026-04-28 11:00:00,5.480349344978165,2.0386899563318774,2.5099999999999993,1.0,2.51,4.440892098500626e-16
2026-04-28 12:00:00,5.349344978165939,1.9899563318777291,2.45,1.0,2.45,0.0
2026-04-28 13:00:00,5.502183406113536,2.0468122270742355,2.5199999999999996,1.0,2.52,4.440892098500626e-16
2026-04-28 14:00:00,5.393013100436681,2.0062008733624452,2.47,1.0,2.47,0.0
2026-04-28 15:00:00,5.3056768558951966,1.973711790393013,2.43,1.0,2.43,0.0
2026-04-28 16:00:00,5.56768558951965,2.0711790393013096,2.55,1.0,2.55,0.0
2026-04-28 17:00:00,5.982532751091703,2.2255021834061135,2.7399999999999998,1.0,2.74,4.440892098500626e-16
2026-04-28 18:00:00,6.812227074235808,2.5341484716157203,3.12,1.0,3.12,0.0
2026-04-28 19:00:00,7.4454148471615715,2.7696943231441047,3.4099999999999997,1.0,3.41,4.440892098500626e-16
2026-04-28 20:00:00,7.772925764192139,2.8915283842794754,3.5599999999999996,1.0,3.56,4.440892098500626e-16
2026-04-28 21:00:00,7.685589519650654,2.8590393013100432,3.52,1.0,3.52,0.0
2026-04-28 22:00:00,6.790393013100435,2.526026200873362,3.1099999999999994,1.0,3.11,4.440892098500626e-16
2026-04-28 23:00:00,5.56768558951965,2.0711790393013096,2.55,1.0,2.55,0.0
2026-04-29 00:00:00,5.19650655021834,1.9331004366812223,2.3799999999999994,1.0,2.38,4.440892098500626e-16
2026-04-29 01:00:00,5.283842794759825,1.965589519650655,2.42,1.0,2.42,0.0
2026-04-29 02:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-29 03:00:00,5.786026200873362,2.1524017467248906,2.65,1.0,2.65,0.0
2026-04-29 04:00:00,6.528384279475982,2.428558951965065,2.9899999999999998,1.0,2.99,4.440892098500626e-16
2026-04-29 05:00:00,7.4454148471615715,2.7696943231441047,3.4099999999999997,1.0,3.41,4.440892098500626e-16
2026-04-29 06:00:00,7.7292576419213965,2.8752838427947593,3.5399999999999996,1.0,3.54,4.440892098500626e-16
2026-04-29 07:00:00,7.663755458515283,2.850917030567685,3.51,1.0,3.51,0.0
2026-04-29 08:00:00,6.703056768558951,2.4935371179039296,3.0699999999999994,1.0,3.07,4.440892098500626e-16
2026-04-29 09:00:00,6.091703056768559,2.2661135371179038,2.79,1.0,2.79,0.0
2026-04-29 10:00:00,5.6550218340611345,2.103668122270742,2.59,1.0,2.59,0.0
2026-04-29 11:00:00,5.545851528384279,2.063056768558952,2.54,1.0,2.54,0.0
2026-04-29 12:00:00,5.283842794759825,1.965589519650655,2.42,1.0,2.42,0.0
2026-04-29 13:00:00,5.436681222707423,2.0224454148471613,2.4899999999999998,1.0,2.49,4.440892098500626e-16
2026-04-29 14:00:00,5.327510917030567,1.981834061135371,2.44,1.0,2.44,0.0
2026-04-29 15:00:00,5.349344978165939,1.9899563318777291,2.45,1.0,2.45,0.0
2026-04-29 16:00:00,5.56768558951965,2.0711790393013096,2.55,1.0,2.55,0.0
2026-04-29 17:00:00,5.895196506550218,2.1930131004366813,2.7,1.0,2.7,0.0
2026-04-29 18:00:00,6.703056768558951,2.4935371179039296,3.0699999999999994,1.0,3.07,4.440892098500626e-16
2026-04-29 19:00:00,7.270742358078602,2.70471615720524,3.3299999999999996,1.0,3.33,4.440892098500626e-16
2026-04-29 20:00:00,7.685589519650654,2.8590393013100432,3.52,1.0,3.52,0.0
2026-04-29 21:00:00,7.641921397379912,2.842794759825327,3.5,1.0,3.5,0.0
2026-04-29 22:00:00,6.768558951965065,2.517903930131004,3.0999999999999996,1.0,3.1,4.440892098500626e-16
2026-04-29 23:00:00,5.6550218340611345,2.103668122270742,2.59,1.0,2.59,0.0
2026-04-30 00:00:00,5.262008733624454,1.957467248908297,2.41,1.0,2.41,0.0
2026-04-30 01:00:00,5.327510917030567,1.981834061135371,2.44,1.0,2.44,0.0
2026-04-30 02:00:00,5.480349344978165,2.0386899563318774,2.5099999999999993,1.0,2.51,4.440892098500626e-16
2026-04-30 03:00:00,5.895196506550218,2.1930131004366813,2.7,1.0,2.7,0.0
2026-04-30 04:00:00,6.550218340611353,2.4366812227074233,3.0,1.0,3.0,0.0
2026-04-30 05:00:00,7.3362445414847155,2.729082969432314,3.36,1.0,3.36,0.0
2026-04-30 06:00:00,7.663755458515283,2.850917030567685,3.51,1.0,3.51,0.0
2026-04-30 07:00:00,7.4454148471615715,2.7696943231441047,3.4099999999999997,1.0,3.41,4.440892098500626e-16
2026-04-30 08:00:00,6.331877729257641,2.3554585152838428,2.9,1.0,2.9,0.0
2026-04-30 09:00:00,5.742358078602619,2.136157205240174,2.6299999999999994,1.0,2.63,4.440892098500626e-16
2026-04-30 10:00:00,5.3056768558951966,1.973711790393013,2.43,1.0,2.43,0.0
2026-04-30 11:00:00,5.131004366812227,1.9087336244541484,2.35,1.0,2.35,0.0
2026-04-30 12:00:00,4.890829694323144,1.8193886462882096,2.24,1.0,2.24,0.0
2026-04-30 13:00:00,5.152838427947597,1.9168558951965062,2.36,1.0,2.36,0.0
2026-04-30 14:00:00,5.021834061135371,1.868122270742358,2.3,1.0,2.3,0.0
2026-04-30 15:00:00,5.065502183406113,1.884366812227074,2.32,1.0,2.32,0.0
2026-04-30 16:00:00,5.502183406113536,2.0468122270742355,2.5199999999999996,1.0,2.52,4.440892098500626e-16
2026-04-30 17:00:00,5.742358078602619,2.136157205240174,2.6299999999999994,1.0,2.63,4.440892098500626e-16
2026-04-30 18:00:00,6.331877729257641,2.3554585152838428,2.9,1.0,2.9,0.0
2026-04-30 19:00:00,6.921397379912663,2.5747598253275106,3.17,1.0,3.17,0.0
2026-04-30 20:00:00,7.467248908296942,2.7778165938864623,3.4199999999999995,1.0,3.42,4.440892098500626e-16
2026-04-30 21:00:00,7.641921397379912,2.842794759825327,3.5,1.0,3.5,0.0
2026-04-30 22:00:00,6.572052401746724,2.4448034934497813,3.01,1.0,3.01,0.0
2026-04-30 23:00:00,5.524017467248907,2.0549344978165935,2.5299999999999994,1.0,2.53,4.440892098500626e-16
